backend,qubits,depth,repetition,shots,expected_state,logical_gate_count,transpiled_gate_count,success_probability,error_rate,counts,job_id
ibm_marrakesh,2,1,0,1000,00,12,2,0.994,0.006000000000000005,"{'00': 994, '10': 4, '01': 2}",dambkidr85ps73fcicrg
ibm_marrakesh,2,1,1,1000,00,12,2,0.995,0.0050000000000000044,"{'00': 995, '10': 3, '01': 2}",dambkidr85ps73fcicrg
ibm_marrakesh,2,1,2,1000,00,12,2,0.997,0.0030000000000000027,"{'00': 997, '01': 1, '10': 2}",dambkidr85ps73fcicrg
ibm_marrakesh,2,1,3,1000,00,12,2,0.999,0.0010000000000000009,"{'00': 999, '01': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,2,1,4,1000,00,12,2,0.998,0.0020000000000000018,"{'00': 998, '01': 1, '10': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,2,2,0,1000,00,18,2,0.997,0.0030000000000000027,"{'00': 997, '10': 2, '01': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,2,2,1,1000,00,18,2,0.998,0.0020000000000000018,"{'00': 998, '01': 1, '10': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,2,2,2,1000,00,18,2,0.999,0.0010000000000000009,"{'00': 999, '10': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,2,2,3,1000,00,18,2,0.997,0.0030000000000000027,"{'00': 997, '10': 3}",dambkidr85ps73fcicrg
ibm_marrakesh,2,2,4,1000,00,18,2,0.999,0.0010000000000000009,"{'00': 999, '01': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,2,4,0,1000,00,30,2,0.998,0.0020000000000000018,"{'00': 998, '10': 2}",dambkidr85ps73fcicrg
ibm_marrakesh,2,4,1,1000,00,30,2,0.999,0.0010000000000000009,"{'00': 999, '10': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,2,4,2,1000,00,30,2,0.999,0.0010000000000000009,"{'00': 999, '10': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,2,4,3,1000,00,30,2,0.996,0.0040000000000000036,"{'00': 996, '10': 3, '01': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,2,4,4,1000,00,30,2,0.998,0.0020000000000000018,"{'00': 998, '10': 1, '01': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,2,8,0,1000,00,54,2,0.997,0.0030000000000000027,"{'00': 997, '10': 3}",dambkidr85ps73fcicrg
ibm_marrakesh,2,8,1,1000,00,54,2,0.999,0.0010000000000000009,"{'00': 999, '10': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,2,8,2,1000,00,54,2,0.997,0.0030000000000000027,"{'00': 997, '01': 2, '10': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,2,8,3,1000,00,54,2,0.998,0.0020000000000000018,"{'00': 998, '10': 2}",dambkidr85ps73fcicrg
ibm_marrakesh,2,8,4,1000,00,54,2,0.998,0.0020000000000000018,"{'00': 998, '01': 2}",dambkidr85ps73fcicrg
ibm_marrakesh,2,16,0,1000,00,102,2,0.999,0.0010000000000000009,"{'00': 999, '01': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,2,16,1,1000,00,102,2,0.997,0.0030000000000000027,"{'00': 997, '10': 3}",dambkidr85ps73fcicrg
ibm_marrakesh,2,16,2,1000,00,102,2,0.994,0.006000000000000005,"{'00': 994, '10': 5, '01': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,2,16,3,1000,00,102,2,0.999,0.0010000000000000009,"{'00': 999, '10': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,2,16,4,1000,00,102,2,0.997,0.0030000000000000027,"{'00': 997, '10': 2, '01': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,2,32,0,1000,00,198,2,0.998,0.0020000000000000018,"{'00': 998, '10': 2}",dambkidr85ps73fcicrg
ibm_marrakesh,2,32,1,1000,00,198,2,0.998,0.0020000000000000018,"{'00': 998, '01': 2}",dambkidr85ps73fcicrg
ibm_marrakesh,2,32,2,1000,00,198,2,0.998,0.0020000000000000018,"{'00': 998, '01': 1, '10': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,2,32,3,1000,00,198,2,0.997,0.0030000000000000027,"{'00': 997, '01': 1, '10': 2}",dambkidr85ps73fcicrg
ibm_marrakesh,2,32,4,1000,00,198,2,1.0,0.0,{'00': 1000},dambkidr85ps73fcicrg
ibm_marrakesh,3,1,0,1000,000,19,3,0.995,0.0050000000000000044,"{'000': 995, '010': 3, '100': 1, '001': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,3,1,1,1000,000,19,3,0.995,0.0050000000000000044,"{'000': 995, '001': 3, '010': 2}",dambkidr85ps73fcicrg
ibm_marrakesh,3,1,2,1000,000,19,3,0.998,0.0020000000000000018,"{'000': 998, '001': 1, '010': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,3,1,3,1000,000,19,3,0.998,0.0020000000000000018,"{'000': 998, '100': 1, '001': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,3,1,4,1000,000,19,3,0.995,0.0050000000000000044,"{'000': 995, '001': 3, '100': 1, '010': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,3,2,0,1000,000,29,3,0.997,0.0030000000000000027,"{'000': 997, '010': 3}",dambkidr85ps73fcicrg
ibm_marrakesh,3,2,1,1000,000,29,3,0.998,0.0020000000000000018,"{'000': 998, '001': 2}",dambkidr85ps73fcicrg
ibm_marrakesh,3,2,2,1000,000,29,3,0.999,0.0010000000000000009,"{'000': 999, '001': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,3,2,3,1000,000,29,3,0.996,0.0040000000000000036,"{'000': 996, '010': 3, '001': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,3,2,4,1000,000,29,3,0.999,0.0010000000000000009,"{'000': 999, '001': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,3,4,0,1000,000,49,3,1.0,0.0,{'000': 1000},dambkidr85ps73fcicrg
ibm_marrakesh,3,4,1,1000,000,49,3,0.995,0.0050000000000000044,"{'000': 995, '001': 2, '010': 3}",dambkidr85ps73fcicrg
ibm_marrakesh,3,4,2,1000,000,49,3,1.0,0.0,{'000': 1000},dambkidr85ps73fcicrg
